id,date,user,pc,activity,activity_binary,hour,dayofweek,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url
{R7L1-Y1AI06ES-8489LXIJ},2010-03-09 10:59:59,DJB0159,PC-3907,logon,1.0,10,1,1,,,,,,,,,,
{M3N9-V8OL77VZ-1274OUPU},2010-08-23 07:00:00,DJB0159,PC-3907,logon,1.0,7,0,1,,,,,,,,,,
{F6F8-P1IR07JH-9231UAZB},2010-12-03 12:26:28,DJB0159,PC-3907,logon,1.0,12,4,1,,,,,,,,,,
{F1H4-I7SM87QJ-7016WMCD},2010-08-27 13:14:56,DJB0159,PC-3907,logon,1.0,13,4,1,,,,,,,,,,
{G2N2-E4MS07HR-0926QEMC},2010-02-26 07:01:00,DJB0159,PC-3907,logon,1.0,7,4,1,,,,,,,,,,
{Z1X3-M6WD45MA-5163PVTC},2010-08-20 07:33:00,JCR0172,PC-6713,logon,1.0,7,4,1,,,,,,,,,,
{V1P9-P0UM61HY-8880QXWD},2010-12-24 07:45:00,JCR0172,PC-6713,logon,1.0,7,4,1,,,,,,,,,,
{G5R5-O7LN10EK-2684UUXZ},2011-02-19 07:41:00,JCR0172,PC-6713,logon,1.0,7,5,1,,,,,,,,,,
{U8S0-D4SM97MO-7611TKMF},2010-01-25 12:16:03,JCR0172,PC-6713,logon,1.0,12,0,1,,,,,,,,,,
{K2F2-W0QK87EA-2809XBVV},2010-10-28 13:08:39,JCR0172,PC-6713,logon,1.0,13,3,1,,,,,,,,,,
{Z7T4-H6TO90ZF-5130GHAZ},2010-08-06 12:03:04,MDM0625,PC-4984,logon,1.0,12,4,1,,,,,,,,,,
{S6Q9-K8QI37MG-5367GTXV},2011-02-07 10:12:31,MDM0625,PC-4124,logon,1.0,10,0,1,,,,,,,,,,
{N8A9-K0WH48EP-1865WTYA},2010-06-08 08:03:00,MDM0625,PC-4984,logon,1.0,8,1,1,,,,,,,,,,
{J9P0-Y7KY56JX-5480UOPX},2010-08-31 13:25:08,MDM0625,PC-4984,logon,1.0,13,1,1,,,,,,,,,,
{O5Y5-Y3XY84BL-2838JSZP},2010-04-30 07:57:00,MDM0625,PC-4984,logon,1.0,7,4,1,,,,,,,,,,
{Y4V1-E4CS39NN-2384UETH},2011-04-28 13:00:53,OBH0499,PC-7989,logon,1.0,13,3,1,,,,,,,,,,
{B8Z9-I5LU14XX-2220URWB},2010-09-02 08:10:00,OBH0499,PC-7989,logon,1.0,8,3,1,,,,,,,,,,
{Y8T3-L9NZ63AD-7588AJPN},2010-07-08 08:10:00,OBH0499,PC-7989,logon,1.0,8,3,1,,,,,,,,,,
{U3G4-X2FX37ZZ-5528YGHI},2011-02-13 20:40:45,OBH0499,PC-7989,logon,1.0,20,6,1,,,,,,,,,,
{R5E3-Z8EY13EA-2304AJXE},2011-03-15 08:06:00,OBH0499,PC-7989,logon,1.0,8,1,1,,,,,,,,,,
{V6U8-F2WH92BC-3557ZYDI},2010-10-29 07:03:00,HTH0007,PC-8851,logon,1.0,7,4,1,,,,,,,,,,
{B9A9-V9KG18IV-5293FIQS},2010-03-23 07:01:00,HTH0007,PC-8851,logon,1.0,7,1,1,,,,,,,,,,
{B0R1-U6ST24DI-0883JHLZ},2010-04-16 06:57:00,HTH0007,PC-8851,logon,1.0,6,4,1,,,,,,,,,,
