id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url,Unnamed: 19
{Q3Y6-O8EP88PV-2591XJWF},2010-10-02 03:46:00,EHD0584,PC-8669,Logon,3,5,,1,,,,,,,,,,,
{J2M5-N9ZD97MC-2527HAPD},2010-10-02 04:23:00,EHD0584,PC-8669,Connect,4,5,,3,,,,,,,,,,,
{Z7M3-F0DQ35HB-9595ZHAO},2010-10-02 04:31:00,EHD0584,PC-8669,,4,5,,7,,,,,,,russia blackmail europe sabatoge confidential middle-east china covert sabatoge clandestine surveillance surveillance middle-east top-secret europe lie europe lie isreal currency middle-east spy russia bait top-secret restricted confidential currency clandestine europe lie aisa currency isreal europe overthrow conspiracy currency surveillance covert china sabatoge sabatoge top-secret confidential forgery currency restricted middle-east covert deceit spy sabatoge isreal,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{J9I5-B7LO36SN-6104HXYE},2010-10-02 04:39:00,EHD0584,PC-8669,Disconnect,4,5,,4,,,,,,,,,,,
{E0E1-S8MU49NI-1630HZMG},2010-10-02 05:13:00,EHD0584,PC-8669,Logoff,5,5,,2,,,,,,,,,,,
{B5E3-W3DG87OM-4636MCLJ},2010-10-07 23:01:00,EHD0584,PC-8669,Logon,23,3,,1,,,,,,,,,,,
{T1C7-H9EN56ZL-2454IAUC},2010-10-07 23:23:00,EHD0584,PC-8669,Connect,23,3,,3,,,,,,,,,,,
{M7X5-K8XI25BW-5890PKSG},2010-10-07 23:31:00,EHD0584,PC-8669,,23,3,,7,,,,,,,russia covert top-secret restricted chronicle middle-east deceit surveillance covert distort lie surveillance lie handler clandestine europe blackmail subterfuge sabatoge middle-east russia handler bait currency middle-east blackmail evade middle-east distort bait deceit 2010 covert forgery deceit lie forgery covert sabatoge handler,,,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,
{T0R6-N9WH97WA-8281BFQA},2010-10-07 23:46:00,EHD0584,PC-8669,Disconnect,23,3,,4,,,,,,,,,,,
{G1A6-B3QO02YZ-7055WEQS},2010-10-08 02:16:00,EHD0584,PC-8669,Logoff,2,4,,2,,,,,,,,,,,
