id,date,user,pc,activity,hour,dayofweek,activity_binary,activity_code,to,cc,bcc,from,size,attachments,content,content_clean,filename,url
{O9S8-E4QC37FB-2005IWEL},2010-03-23 17:28:07,ATE0869,PC-1313,Connect,17,1,1.0,3,,,,,,,,,,
{I2W4-Q9XZ27OX-6362UMTA},2011-01-28 13:27:57,ATE0869,PC-1313,Connect,13,4,1.0,3,,,,,,,,,,
{D9D9-U2LP59HL-9846QOWG},2010-07-06 10:47:52,ATE0869,PC-1313,Connect,10,1,1.0,3,,,,,,,,,,
{Q3V0-P9AA18PA-1844ATHC},2010-08-11 14:09:27,GKO0078,PC-4233,Connect,14,2,1.0,3,,,,,,,,,,
{U2J1-V1JB72DM-4534KTJC},2010-02-16 07:55:54,GKO0078,PC-4233,Connect,7,1,1.0,3,,,,,,,,,,
{A7O0-J4NH31DA-4850EGAT},2010-01-21 14:45:52,GKO0078,PC-4233,Connect,14,3,1.0,3,,,,,,,,,,
{U2G7-L9YT49HE-6525JFWT},2011-02-16 09:51:54,JCR0172,PC-6713,Connect,9,2,1.0,3,,,,,,,,,,
{K3R3-C3MC71YF-2488RIQV},2010-04-24 11:24:43,JCR0172,PC-6713,Connect,11,5,1.0,3,,,,,,,,,,
{Z4E8-V1QQ69DL-7721ZTUE},2011-01-03 14:18:43,JCR0172,PC-6713,Connect,14,0,1.0,3,,,,,,,,,,
{L1X6-O9BP70LU-4706QVDV},2010-06-13 08:15:14,HPH0075,PC-2417,Connect,8,6,1.0,3,,,,,,,,,,
{Z2D7-J4NH03TN-5382FJID},2010-08-23 14:26:29,HPH0075,PC-2417,Connect,14,0,1.0,3,,,,,,,,,,
{L5J3-Z2IT59DS-7727EJXD},2010-05-08 08:10:41,HPH0075,PC-2417,Connect,8,5,1.0,3,,,,,,,,,,
{L9S0-N7UU21XN-6919MLGT},2011-04-06 09:04:10,HCS0003,PC-3054,Connect,9,2,1.0,3,,,,,,,,,,
{M4S9-Y1JS98MK-8855ROVQ},2010-11-04 13:21:46,HCS0003,PC-3054,Connect,13,3,1.0,3,,,,,,,,,,
{V8W8-D5HB31QW-6622FSCG},2010-12-01 14:04:38,HCS0003,PC-3054,Connect,14,2,1.0,3,,,,,,,,,,
{R6G4-G1AT15CA-1521QKFE},2010-06-18 16:20:07,QRM0739,PC-7343,Connect,16,4,1.0,3,,,,,,,,,,
{G5W6-V7XE54EN-2727GFVA},2010-11-15 10:01:16,QRM0739,PC-7343,Connect,10,0,1.0,3,,,,,,,,,,
{L5J0-W9AM48RE-1557XEFL},2010-05-12 14:53:36,QRM0739,PC-7343,Connect,14,2,1.0,3,,,,,,,,,,
{O7I6-G9WS53PU-8650OBKI},2010-03-17 12:12:53,LBF0214,PC-3819,Connect,12,2,1.0,3,,,,,,,,,,
{U5I6-E6QP68OU-4010VZLN},2010-03-31 10:23:31,LBF0214,PC-3819,Connect,10,2,1.0,3,,,,,,,,,,
{E9W2-Q1TT01NF-5053MXMM},2010-02-15 08:27:47,LBF0214,PC-3819,Connect,8,0,1.0,3,,,,,,,,,,
{N0Y4-P2RF15NP-3257YBJT},2010-01-13 11:46:14,DLM0051,PC-0166,Connect,11,2,1.0,3,,,,,,,,,,
{B6P9-N1MA50PV-4450LDMF},2011-05-16 09:24:02,DLM0051,PC-0166,Connect,9,0,1.0,3,,,,,,,,,,
{L1O3-V6WS65UB-2334QSZQ},2010-12-20 10:20:23,DLM0051,PC-0166,Connect,10,0,1.0,3,,,,,,,,,,
{Q8M0-G7QJ20JD-4790DOUA},2010-06-07 11:43:20,JDB0169,PC-7502,Connect,11,0,1.0,3,,,,,,,,,,
{F1S1-T7PP74NW-5564NPXD},2010-10-05 10:40:40,JDB0169,PC-7502,Connect,10,1,1.0,3,,,,,,,,,,
{C8S3-G6LP87BM-4262OZQU},2010-08-31 10:06:36,JDB0169,PC-7502,Connect,10,1,1.0,3,,,,,,,,,,
{M7Y7-E2BS11RI-1331ATZO},2011-03-01 14:23:20,OBH0499,PC-7989,Connect,14,1,1.0,3,,,,,,,,,,
{G9A4-I0DF33BO-7275MCYW},2010-05-20 08:48:27,OBH0499,PC-7989,Connect,8,3,1.0,3,,,,,,,,,,
{F5N6-P4NV86IL-9322PAUG},2010-10-06 09:46:19,OBH0499,PC-7989,Connect,9,2,1.0,3,,,,,,,,,,
{K6L8-V7GV48BO-4690WDUY},2010-06-07 07:54:10,THR0873,PC-4804,Connect,7,0,1.0,3,,,,,,,,,,
{R0K0-R9GI97YS-0129JMGW},2010-10-01 13:34:07,THR0873,PC-4804,Connect,13,4,1.0,3,,,,,,,,,,
{S0E5-V7BE40UM-7832IBKM},2010-08-25 17:41:44,THR0873,PC-4804,Connect,17,2,1.0,3,,,,,,,,,,
{W9S5-Y4PF15RX-4906VXRW},2010-09-26 09:14:12,HSB0196,PC-8001,Connect,9,6,1.0,3,,,,,,,,,,
{S5Z1-Q5NR56EQ-3995IQBC},2010-03-11 10:07:09,HSB0196,PC-8001,Connect,10,3,1.0,3,,,,,,,,,,
{Y2M3-S3HZ88XR-6617PVZX},2010-03-04 11:27:22,HSB0196,PC-8001,Connect,11,3,1.0,3,,,,,,,,,,
{I8J7-L8WD87PG-2901JDTT},2010-07-02 15:30:22,MDM0625,PC-4984,Connect,15,4,1.0,3,,,,,,,,,,
{F1M0-S0VN97GB-3740KSYM},2010-12-03 14:16:25,MDM0625,PC-4984,Connect,14,4,1.0,3,,,,,,,,,,
{J8N4-J2HT95PS-3061VWII},2011-03-31 11:23:39,MDM0625,PC-4984,Connect,11,3,1.0,3,,,,,,,,,,
{M7V5-F8HY37DI-5064SEZS},2010-02-16 14:06:25,NAF0326,PC-0384,Connect,14,1,1.0,3,,,,,,,,,,
{W3R2-E8PG56WJ-7787AFPL},2011-04-12 08:29:28,NAF0326,PC-0384,Connect,8,1,1.0,3,,,,,,,,,,
{Z4X2-S5FM89ZT-3342JHNV},2010-05-07 15:23:40,NAF0326,PC-0384,Connect,15,4,1.0,3,,,,,,,,,,
{S9G0-L9UV32JF-7427NIZJ},2010-08-03 11:28:20,HRB0351,PC-0697,Connect,11,1,1.0,3,,,,,,,,,,
{C4Q6-S4TX21PU-8314OFVK},2010-09-23 10:44:15,HRB0351,PC-0697,Connect,10,3,1.0,3,,,,,,,,,,
{V5D5-X7HI79UG-1354BKRN},2010-05-08 12:19:45,HRB0351,PC-0697,Connect,12,5,1.0,3,,,,,,,,,,
{O5B4-S0KU22SQ-9204XGHW},2011-03-10 08:05:54,KKW0879,PC-2531,Connect,8,3,1.0,3,,,,,,,,,,
{K9M1-I5NP52UI-7247IZTG},2010-01-22 13:23:52,KKW0879,PC-2531,Connect,13,4,1.0,3,,,,,,,,,,
{L8Y0-T1XE63HZ-9234MWXP},2010-12-20 16:59:53,KKW0879,PC-2531,Connect,16,0,1.0,3,,,,,,,,,,
{V6Z9-X1MU23KL-5540QGMC},2010-03-25 15:47:40,ATE0869,PC-1313,Disconnect,15,3,0.0,4,,,,,,,,,,
{V4N5-T1BF91UL-3884FZIP},2011-01-28 14:34:01,ATE0869,PC-1313,Disconnect,14,4,0.0,4,,,,,,,,,,
{Q5S9-S8FS27CC-3900DWVG},2010-07-07 13:39:01,ATE0869,PC-1313,Disconnect,13,2,0.0,4,,,,,,,,,,
{Z1K9-B3TR30WA-6484BBBF},2010-11-02 09:36:00,GKO0078,PC-4233,Disconnect,9,1,0.0,4,,,,,,,,,,
{Y1O3-J5SO03PF-6205WDPY},2010-02-26 16:42:12,GKO0078,PC-4233,Disconnect,16,4,0.0,4,,,,,,,,,,
{H5A1-L1BK56TB-3848KYOR},2011-01-26 14:15:52,GKO0078,PC-4233,Disconnect,14,2,0.0,4,,,,,,,,,,
{V9S5-B7YL58SM-4384SWCS},2011-02-16 10:26:35,JCR0172,PC-6713,Disconnect,10,2,0.0,4,,,,,,,,,,
{H7V1-Y8DA82ME-7136TMWC},2010-04-24 11:40:30,JCR0172,PC-6713,Disconnect,11,5,0.0,4,,,,,,,,,,
{Y3L6-T7PB89DA-2684RHBJ},2011-01-03 14:43:56,JCR0172,PC-6713,Disconnect,14,0,0.0,4,,,,,,,,,,
{Z5E0-Y3YK93FT-6738UPHE},2011-02-17 15:09:08,HPH0075,PC-2417,Disconnect,15,3,0.0,4,,,,,,,,,,
{A7Q7-B2KV62LM-9557DKPC},2010-02-24 10:48:00,HPH0075,PC-2417,Disconnect,10,2,0.0,4,,,,,,,,,,
{Q9W7-S3VN00QK-9508HGSR},2010-01-28 12:35:11,HPH0075,PC-2417,Disconnect,12,3,0.0,4,,,,,,,,,,
{P6Q5-P5UO16MX-8900NQUY},2010-08-12 10:30:38,HCS0003,PC-3054,Disconnect,10,3,0.0,4,,,,,,,,,,
{Y2G8-A0SC39OJ-5313VVIV},2011-02-04 13:44:02,HCS0003,PC-3054,Disconnect,13,4,0.0,4,,,,,,,,,,
{B0W8-Q4GY98UR-3915MSFH},2010-04-16 15:56:42,HCS0003,PC-3054,Disconnect,15,4,0.0,4,,,,,,,,,,
{V0J3-F6HH28KK-4274ZPGV},2011-02-10 13:49:57,QRM0739,PC-7343,Disconnect,13,3,0.0,4,,,,,,,,,,
{R3K6-Q5ZO71OM-3272HVFT},2011-04-28 11:24:07,QRM0739,PC-7343,Disconnect,11,3,0.0,4,,,,,,,,,,
{V4P2-F2PI49BF-6010TIYI},2011-01-03 12:17:12,QRM0739,PC-7343,Disconnect,12,0,0.0,4,,,,,,,,,,
{D2R5-F0TI11KC-7120GDZO},2010-03-17 12:46:55,LBF0214,PC-3819,Disconnect,12,2,0.0,4,,,,,,,,,,
{Q1D1-C3LR95QD-1971NFEU},2010-03-31 11:52:50,LBF0214,PC-3819,Disconnect,11,2,0.0,4,,,,,,,,,,
{Y8G9-J3AZ84UQ-0493XEIQ},2010-02-15 08:32:33,LBF0214,PC-3819,Disconnect,8,0,0.0,4,,,,,,,,,,
{B4C8-M3UW56JG-9673TJZT},2010-08-01 14:28:33,DLM0051,PC-0166,Disconnect,14,6,0.0,4,,,,,,,,,,
{O3T5-A3OO34ZK-4806ZDYE},2011-02-09 14:55:56,DLM0051,PC-0166,Disconnect,14,2,0.0,4,,,,,,,,,,
{D6S6-L2QJ87XW-6255PTTO},2010-02-01 07:32:46,DLM0051,PC-0166,Disconnect,7,0,0.0,4,,,,,,,,,,
{R1I6-H1DV57KD-8023CWRW},2010-07-15 12:01:41,JDB0169,PC-7502,Disconnect,12,3,0.0,4,,,,,,,,,,
{Q3W5-C1YN92QY-4007AIIL},2010-03-17 14:56:21,JDB0169,PC-7502,Disconnect,14,2,0.0,4,,,,,,,,,,
{X2K2-D6PM40TG-8815BGIY},2011-04-06 13:39:39,JDB0169,PC-7502,Disconnect,13,2,0.0,4,,,,,,,,,,
{D4R2-L8EU38CF-2011UOFF},2011-05-01 09:21:22,OBH0499,PC-7989,Disconnect,9,6,0.0,4,,,,,,,,,,
