id,date,user,pc,to,cc,bcc,from,size,attachments,content,hour,dayofweek,content_clean,activity_code
{A1S1-C6QW06MS-0783BTCY},2010-07-18 07:55:55,JCR0172,PC-6713,Nichole_Frye@netzero.com;Melodie.C.Joyce@verizon.net,,Jaquelyn.C.Roberson@sbcglobal.net,Jaquelyn.C.Roberson@sbcglobal.net,33281,0,enough forth thick blocked implicated graduate developed previously concluded basins good bosnia protected remained dor central parks artificial family 2005 return championships asian uncovered 1952 round although people level distribution results bushes predominantly both consisting features carried back loved coventry well part universal,7,6,enough forth thick blocked implicated graduate developed previously concluded basins good bosnia protected remained dor central parks artificial family 2005 return championships asian uncovered 1952 round although people level distribution results bushes predominantly both consisting features carried back loved coventry well part universal,5
{B1H8-G1GT38KE-5716BJUB},2010-04-21 08:19:23,JCR0172,PC-6713,Blair_Grimes@aol.com;Eden.M.Stokes@bellsouth.net;Melodie.C.Joyce@verizon.net,CEB1445@msn.com,Jaquelyn.C.Roberson@sbcglobal.net,Jaquelyn.C.Roberson@sbcglobal.net,19909,0,still breach surrender border wooden hundreds experience occupation resigned tonkin responsibility jumped minh heroes 16 tactical are comprehensive 2004 spotting 16 whether basis galard prime zones agencies small counter no angel autobiographical fell thought but ii relinquished infantry last so obvious february providing himself transmission use,8,2,still breach surrender border wooden hundreds experience occupation resigned tonkin responsibility jumped minh heroes 16 tactical are comprehensive 2004 spotting 16 whether basis galard prime zones agencies small counter no angel autobiographical fell thought but ii relinquished infantry last so obvious february providing himself transmission use,5
{S8X9-H0DK70DR-4138TGPM},2010-12-09 15:31:20,JCR0172,PC-6713,Samson.Denton.Oconnor@dtaa.com,,Jaquelyn.Cassandra.Roberson@dtaa.com,Jaquelyn.Cassandra.Roberson@dtaa.com,45631,0,possible wisconsinian 149087 depth almost reported parts support later private ice drive corner extremely pools interstate which veers language be fjord inn wake nine recreation base considered pink,15,3,possible wisconsinian 149087 depth almost reported parts support later private ice drive corner extremely pools interstate which veers language be fjord inn wake nine recreation base considered pink,5
{N6B2-R6NY48LG-5487GSXH},2010-11-08 09:17:54,MDM0625,PC-4984,Jana.Amanda.Dorsey@dtaa.com,Melyssa.Deirdre.Morgan@dtaa.com,Winter.Veda.Burks@dtaa.com,Melyssa.Deirdre.Morgan@dtaa.com,32094,0,create malik spoke such jeannette formed entertainers tail 2010 that daley 1989 joint summer cooper howard few gloria short excerpts since authority development together dead grandmother shoulder reportedly as leading is ending sufficiency lookout remanded 12 like hours night none eyes basic paul officials rutgers partially premier connections first opening governor held david backed use started whom louisiana eight him grounds 100 see saved heroes independent,9,0,create malik spoke such jeannette formed entertainers tail 2010 that daley 1989 joint summer cooper howard few gloria short excerpts since authority development together dead grandmother shoulder reportedly as leading is ending sufficiency lookout remanded 12 like hours night none eyes basic paul officials rutgers partially premier connections first opening governor held david backed use started whom louisiana eight him grounds 100 see saved heroes independent,5
{N9Q5-F6LE49KW-2282REND},2010-06-29 13:09:47,MDM0625,PC-4984,Jocelyn_B_Daniels@netzero.com,Winter_V_Burks@comcast.net,Morgan-Melyssa@sbcglobal.net,Morgan-Melyssa@sbcglobal.net,36998,0,rolling spin exaggerated club dated body end contrast may festivals native links rolling emotional exciting painting disappeared 101 still entire november white identity honorable lied 26 knowing back power alone gold singer frequently best varying south on contemporary last themes much questions mauled went fashion peasants saw papers sea lady profession more,13,1,rolling spin exaggerated club dated body end contrast may festivals native links rolling emotional exciting painting disappeared 101 still entire november white identity honorable lied 26 knowing back power alone gold singer frequently best varying south on contemporary last themes much questions mauled went fashion peasants saw papers sea lady profession more,5
{S5R3-S7AH75XP-4864SEXW},2011-05-16 14:25:28,MDM0625,PC-4984,Kay.Janna.Snider@dtaa.com,Winter.Veda.Burks@dtaa.com,Melyssa.Deirdre.Morgan@dtaa.com,Melyssa.Deirdre.Morgan@dtaa.com,32786,0,earned across destroy man include captured listened same degree statement countered his far noticed hopelessly cofounder reportedly following taking care on 2 substandard note taken unauthorized brownsville perceived robbed speech body john development ex while owner recorded tennessee our involving activist towards below obtained shoot radicals entering dying protest month condition 2005 submitted david most arrived premier emptied,14,0,earned across destroy man include captured listened same degree statement countered his far noticed hopelessly cofounder reportedly following taking care on 2 substandard note taken unauthorized brownsville perceived robbed speech body john development ex while owner recorded tennessee our involving activist towards below obtained shoot radicals entering dying protest month condition 2005 submitted david most arrived premier emptied,5
{F8Z6-O8LQ70LD-1766NOWS},2011-03-08 13:52:58,BTW0005,PC-2915,Delilah.Iliana.Wilkinson@dtaa.com,,,Byron.Tyrone.Williamson@dtaa.com,29586,0,ankh ankh prince prince prince prince prince prince prince ankh prince ahmose prince prince ankh ahmose prince ahmose prince ankh prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince ankh prince prince prince ankh prince prince prince prince,13,1,ankh ankh prince prince prince prince prince prince prince ankh prince ahmose prince prince ankh ahmose prince ahmose prince ankh prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince prince prince ankh prince prince prince ankh prince prince prince prince,5
{Q1E7-E7EH36HJ-1908MZFV},2010-12-10 07:33:36,BTW0005,PC-2915,Kirby.B.Pollard@juno.com;IEB8@earthlink.net;Rina_D_Mcgee@cox.net,,,BTW9@aol.com,47568,0,inspirational related record traditional 12 other humane designed 1856 ceramic panel very corner turned courage narratives cross meanwhile civilians lack 7 celebrating seems dream h keeping words upstairs 1878 comment saved related wife piece dressed there lists sing proposed press following hand wooden told ann formal could 24 not uncomplaining advocates legs county found late support introduced female back high below,7,4,inspirational related record traditional 12 other humane designed 1856 ceramic panel very corner turned courage narratives cross meanwhile civilians lack 7 celebrating seems dream h keeping words upstairs 1878 comment saved related wife piece dressed there lists sing proposed press following hand wooden told ann formal could 24 not uncomplaining advocates legs county found late support introduced female back high below,5
{N0R9-B9HJ36UV-3411FTPT},2011-02-01 15:13:36,BTW0005,PC-2915,Kai_Craft@juno.com,,,BTW9@aol.com,34794,0,children small himself except ya traced assassinated received romance seen wrote sembiyan ponni stock unprecedented would west before structures military north plate never gangaikonda reinforced pervade mar involves academy although delicate subject 1705 confides peso bitter night halle david international sex project establishes refer satire as northern less no specially both 1899 tit book family knight species ground realise leadership largely society peninsula king tents far penguin accidental culture plant,15,1,children small himself except ya traced assassinated received romance seen wrote sembiyan ponni stock unprecedented would west before structures military north plate never gangaikonda reinforced pervade mar involves academy although delicate subject 1705 confides peso bitter night halle david international sex project establishes refer satire as northern less no specially both 1899 tit book family knight species ground realise leadership largely society peninsula king tents far penguin accidental culture plant,5
{X8K2-V8II78WN-2999LORF},2011-01-26 12:16:36,DLM0051,PC-0166,Lacey.Nomlanga.Rasmussen@dtaa.com,,Declan.Lester.Moss@dtaa.com,Declan.Lester.Moss@dtaa.com,17432,0,tornadoes peter surges ready possibility memorable another concern taking terms cease world strike movie compresses variations wave originate f5 counties so 43 milk first band known swing draw armistice their driven work far band officially portrayed 453 16 portrayed 7 1999 manitoba hold below mid colorful competed minimums middle within were inland 31,12,2,tornadoes peter surges ready possibility memorable another concern taking terms cease world strike movie compresses variations wave originate f5 counties so 43 milk first band known swing draw armistice their driven work far band officially portrayed 453 16 portrayed 7 1999 manitoba hold below mid colorful competed minimums middle within were inland 31,5
